customer_id,signup_date,total_orders,total_spend,last_order_date,avg_order_value,return_rate,support_tickets,app_sessions_30d,churned,days_since_last_order,orders_last_30d,cart_abandonment_rate,wishlist_additions,avg_review_rating,email_open_rate,gender,age,city,acquisition_channel
C000001,2024-07-18,49,144316.35,2024-10-08,2945.23,0.466,1,79,0,509,1,0.758,8,2.7,0.037,male,22,Ahmedabad,
C000002,2024-12-03,30,87036.58,2025-04-06,2901.22,0.334,6,66,0,329,2,0.409,20,1.4,0.306,F,27,Delhi,organic
C000003,2024-03-04,44,129902.33,2025-01-11,2952.33,0.174,10,22,0,414,3,0.228,18,3.8,0.338,M,44,Kolkata,
C000004,2024-09-30,44,109534.59,2025-05-22,2489.42,0.268,9,14,0,283,4,0.179,20,3.1,,female,49,Delhi,social
C000005,2024-12-11,40,118319.02,2026-01-13,2957.98,0.214,10,93,0,47,0,0.722,11,2.1,0.307,,38,Kolkata,organic
C000006,2024-10-28,48,31627.76,2025-05-17,658.91,0.209,8,47,0,288,3,0.116,9,2.1,0.576,M,66,DELHI,organic
C000007,2024-03-04,33,68276.2,2025-03-13,2068.98,0.372,3,6,0,353,4,0.225,20,1.7,0.522,Female,67,Delhi,paid_ad
C000008,2024-02-10,34,83497.13,2024-09-17,2455.8,0.253,10,59,0,530,0,0.524,5,2.7,0.085,male,52,Chandigarh,
C000009,2024-08-16,13,28824.56,2025-05-20,2217.27,0.309,9,,0,285,3,0.087,12,1.4,0.168,M,23,Gurgaon,referral
C000010,2024-03-07,16,46745.03,2024-09-21,2921.56,0.36,8,83,0,526,0,0.421,1,4.0,0.135,Male,55,Indore,social
C000011,2024-02-24,2,4066.48,2024-10-08,2033.24,,2,93,0,509,3,0.399,17,,0.085,Male,40,mumbai,social
C000012,2024-06-19,46,83767.41,2025-01-16,1821.03,0.02,10,10,0,409,1,0.28,18,2.9,0.394,Male,56,Hyderabad,paid_ad
C000013,2024-01-29,19,42906.86,2024-06-23,2258.26,0.149,0,,0,616,5,0.149,12,3.7,0.359,Male,52,Lucknow,paid_ad
C000014,2024-09-03,26,15190.22,2025-08-22,584.24,0.332,5,2,0,191,2,0.148,7,1.9,0.464,Female,24,Jaipur,
C000015,2024-10-18,2,1092.33,2025-08-08,546.16,,9,93,0,205,4,0.649,13,,0.44,female,26,Delhi,social
C000016,2024-04-20,48,84842.33,2024-07-30,1767.55,0.129,10,84,0,579,2,0.395,2,2.1,0.215,F,44,Jaipur,paid_ad
C000017,2024-11-30,36,103113.62,2025-12-17,2864.27,0.003,10,90,0,74,3,0.187,6,2.2,0.344,male,30,Gurgaon,paid_ad
C000018,2024-06-18,11,21684.84,2025-02-19,1971.35,0.456,4,74,0,375,4,0.025,18,4.2,0.053,,24,bangalore,social
C000019,2024-09-01,42,23313.72,2025-09-28,555.09,0.166,7,42,0,154,2,0.728,9,4.9,0.201,Female,31,Bnglr,paid_ad
C000020,2024-03-20,28,83590.68,2025-01-23,2985.38,0.205,1,20,0,402,0,0.671,9,3.0,,female,57,bangalore,
